Gene1	Gene2	Observed_CoMutation	FixedMargin_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
CSNK1E	PER3	12	12.1831	0.891657947527828	0.9849709843964181	-0.20534780238055936	0.8177182281771823	0.9057555782883251	Depleted
CRY1	NR1D2	7	7.0328	0.7304639058514633	0.9953361392333068	-0.044902971573614864	0.8181181881811819	0.9057555782883251	Depleted
CLOCK	TIMELESS	14	14.2783	0.9901248126950821	0.9805088841108536	-0.2810756749368574	0.8185181481851814	0.9057555782883251	Depleted
NR1D1	RORC	8	8.1684	0.8728789330503839	0.9793839674844522	-0.1929248073515824	0.8191180881911809	0.9057555782883251	Depleted
RORB	TIMELESS	13	13.2099	0.9156013447905471	0.9841104020469497	-0.2292482434568901	0.8222177782221778	0.9057555782883251	Depleted
ARNTL	RORC	11	11.307	0.9895700707339976	0.972848677810206	-0.31023573679051153	0.8242175782421758	0.9057555782883251	Depleted
RORA	RORC	10	10.3362	1.0159098224137453	0.967473539598692	-0.3309348847530653	0.8277172282771723	0.9057555782883251	Depleted
ARNTL	CLOCK	12	12.3164	0.9988947988061148	0.974310675197298	-0.3167500725583545	0.8292170782921707	0.9057555782883251	Depleted
CRY2	NR1D2	8	8.0263	0.6873540249067838	0.9967232722425027	-0.03826266966803254	0.8296170382961704	0.9057555782883251	Depleted
NR1D1	PER2	11	11.2768	0.9309502816169533	0.9754540295119183	-0.2973305937662214	0.833016698330167	0.9057555782883251	Depleted
CSNK1E	TIMELESS	10	10.2209	0.8782826014631073	0.9783874218513047	-0.2515135784678063	0.8332166783321668	0.9057555782883251	Depleted
CLOCK	CRY2	11	11.2199	0.8933217742668303	0.9804008948386348	-0.24615990154329087	0.8338166183381662	0.9057555782883251	Depleted
CSNK1D	TIMELESS	10	10.2016	0.8682354653447002	0.9802383939774154	-0.2321950761593935	0.8348165183481652	0.9057555782883251	Depleted
CRY1	NR1D1	7	7.1122	0.7813272088060943	0.9842242906554934	-0.143601808225067	0.8349165083491651	0.9057555782883251	Depleted
NR1D2	RORB	8	8.0716	0.7375146322502886	0.991129391942118	-0.0970828196066236	0.8356164383561644	0.9057555782883251	Depleted
CRY1	RORC	8	8.3061	0.9331076352628879	0.9631475662464934	-0.3280436130112278	0.8427157284271573	0.9057555782883251	Depleted
CLOCK	CSNK1E	8	8.3532	0.9309868063744857	0.9577168031413112	-0.37938239036432275	0.8574142585741426	0.9057555782883251	Depleted
PER3	RORC	13	13.4462	1.0117351040623623	0.9668159033779061	-0.4410245312319379	0.8616138386161384	0.9057555782883251	Depleted
CRY1	CRY2	8	8.2003	0.7837355001104731	0.9755740643634988	-0.2555709164275022	0.8639136086391361	0.9057555782883251	Depleted
CRY1	PER1	11	11.3331	0.8977889465232071	0.9706082184044965	-0.3710226120403562	0.8688131186881312	0.9057555782883251	Depleted
ARNTL	NR1D2	7	7.222	0.7731596067939386	0.9692605926336194	-0.28713346901368525	0.8734126587341265	0.9057555782883251	Depleted
NR1D2	RORA	7	7.213	0.7758164661303032	0.9704699847497573	-0.27454947052416057	0.8744125587441256	0.9057555782883251	Depleted
CSNK1D	RORA	7	7.367	0.8829433497659346	0.9501832496267137	-0.41565520607555456	0.8795120487951205	0.9057555782883251	Depleted
NPAS2	RORA	12	12.5431	1.00957630441262	0.9567012939385	-0.537948441961483	0.8831116888311169	0.9057555782883251	Depleted
CSNK1E	RORC	7	7.3958	0.8785326072230873	0.9464831390789367	-0.45052397229861063	0.8914108589141085	0.9065195175397714	Depleted
ARNTL	NR1D1	4	4.5194	0.9251536255796075	0.8850732398105943	-0.5614202718760322	0.9113088691130887	0.9124087591240876	Depleted
CSNK1E	RORA	6	6.4829	0.897322745064941	0.9255117308611887	-0.5381564243811199	0.9124087591240876	0.9124087591240876	Depleted
