Cancer_Type	Gene	Primary_Patients	Mutated_Patients	Prevalence_Percent	Odds_Ratio	P_value	FDR	Direction
rectum adenocarcinoma	ARNTL	167	2	1.19760479041916	1.23909385139814	0.678334445194877	0.97558212342634	Enriched
skin cutaneous melanoma	PER1	104	2	1.92307692307692	1.211902878709	0.682883082707167	0.979372936543611	Enriched
esophageal carcinoma	CRY1	185	2	1.08108108108108	1.18640247496312	0.68741162238987	0.983113828669311	Enriched
esophageal carcinoma	CSNK1E	185	2	1.08108108108108	1.12654294912278	0.699122792047652	0.997077630998323	Enriched
adrenocortical cancer	ARNTL	92	0	0	0	1	1	Depleted
adrenocortical cancer	CRY1	92	0	0	0	1	1	Depleted
adrenocortical cancer	CSNK1E	92	0	0	0	1	1	Depleted
adrenocortical cancer	NR1D1	92	0	0	0	1	1	Depleted
adrenocortical cancer	NR1D2	92	0	0	0	1	1	Depleted
cholangiocarcinoma	CLOCK	36	0	0	0	1	1	Depleted
cholangiocarcinoma	CRY1	36	0	0	0	1	1	Depleted
cholangiocarcinoma	CRY2	36	0	0	0	1	1	Depleted
cholangiocarcinoma	CSNK1D	36	0	0	0	1	1	Depleted
cholangiocarcinoma	CSNK1E	36	0	0	0	1	1	Depleted
cholangiocarcinoma	NPAS2	36	0	0	0	1	1	Depleted
cholangiocarcinoma	NR1D1	36	0	0	0	1	1	Depleted
cholangiocarcinoma	NR1D2	36	0	0	0	1	1	Depleted
cholangiocarcinoma	PER2	36	0	0	0	1	1	Depleted
cholangiocarcinoma	PER3	36	0	0	0	1	1	Depleted
cholangiocarcinoma	RORA	36	0	0	0	1	1	Depleted
cholangiocarcinoma	RORB	36	0	0	0	1	1	Depleted
cholangiocarcinoma	RORC	36	0	0	0	1	1	Depleted
diffuse large B-cell lymphoma	ARNTL	48	0	0	0	1	1	Depleted
diffuse large B-cell lymphoma	CLOCK	48	0	0	0	1	1	Depleted
diffuse large B-cell lymphoma	CRY1	48	0	0	0	1	1	Depleted
diffuse large B-cell lymphoma	CRY2	48	0	0	0	1	1	Depleted
diffuse large B-cell lymphoma	CSNK1D	48	0	0	0	1	1	Depleted
diffuse large B-cell lymphoma	NPAS2	48	0	0	0	1	1	Depleted
diffuse large B-cell lymphoma	NR1D1	48	0	0	0	1	1	Depleted
diffuse large B-cell lymphoma	NR1D2	48	0	0	0	1	1	Depleted
