Gene1	Gene2	Cancer_Types	Significant_Cancer_Count	Enriched_Cancer_Count	Depleted_Cancer_Count	Best_FDR	Median_OE_Ratio	Max_OE_Ratio
PER2	RORC	1	0	1	0	1.0	1.1665208515602217	1.1665208515602217
PER3	NR1D1	1	0	0	1	1.0	0.3808363165511463	0.3808363165511463
PER3	NR1D2	1	0	0	1	1.0	0.3809233582203261	0.3809233582203261
PER3	RORA	1	0	0	1	1.0	0.8501774745478118	0.8501774745478118
PER3	RORB	1	0	1	0	1.0	1.5319507477834586	1.5319507477834586
PER3	RORC	1	0	1	0	1.0	1.1909866133104665	1.1909866133104665
RORA	CLOCK	1	0	0	1	1.0	0.6629321488945606	0.6629321488945606
RORA	NR1D1	1	0	0	1	1.0	0.0	0.0
RORA	NR1D2	1	0	0	1	1.0	0.0	0.0
RORA	RORB	1	0	0	1	1.0	0.9314889851427507	0.9314889851427507
RORA	RORC	1	0	1	0	1.0	1.756337450968913	1.756337450968913
RORB	CLOCK	1	0	1	0	1.0	1.4899576852017402	1.4899576852017402
RORB	NR1D1	1	0	0	1	1.0	0.0	0.0
RORB	NR1D2	1	0	0	1	1.0	0.830702774547267	0.830702774547267
RORB	RORC	1	0	0	1	1.0	0.5277601857715853	0.5277601857715853
RORC	CLOCK	1	0	1	0	1.0	1.127141568981064	1.127141568981064
RORC	NR1D1	1	0	1	0	1.0	1.0595465140919686	1.0595465140919686
RORC	NR1D2	1	0	0	1	1.0	0.0	0.0
TIMELESS	ARNTL	1	0	1	0	1.0	1.4909795735798421	1.4909795735798421
TIMELESS	CLOCK	1	0	1	0	1.0	1.8705574261129816	1.8705574261129816
TIMELESS	CRY2	1	0	0	1	1.0	0.5850690381465012	0.5850690381465012
TIMELESS	CSNK1D	1	0	0	1	1.0	0.7546030787805614	0.7546030787805614
TIMELESS	CSNK1E	1	0	1	0	1.0	2.2653477308766896	2.2653477308766896
TIMELESS	NPAS2	1	0	1	0	1.0	1.3084295574237021	1.3084295574237021
TIMELESS	NR1D1	1	0	1	0	1.0	1.0329511414110113	1.0329511414110113
TIMELESS	NR1D2	1	0	1	0	1.0	2.0863759649488838	2.0863759649488838
TIMELESS	PER1	1	0	0	1	1.0	0.8097165991902834	0.8097165991902834
TIMELESS	PER2	1	0	1	0	1.0	1.1702750146284375	1.1702750146284375
TIMELESS	PER3	1	0	1	0	1.0	1.4232511801124368	1.4232511801124368
TIMELESS	RORA	1	0	1	0	1.0	1.1676786548341895	1.1676786548341895
TIMELESS	RORB	1	0	0	1	1.0	0.5222750300308142	0.5222750300308142
TIMELESS	RORC	1	0	1	0	1.0	1.3193482419684675	1.3193482419684675
