Cancer_Type	N	Gene1	Gene2	Gene1_Mutated	Gene2_Mutated	Observed_CoMutation	Expected_Independence	Permutation_Expected	Null_SD	Observed_Expected_Ratio	Permutation_Z	Permutation_P	FDR	Direction
uterine corpus endometrioid carcinoma	42	CSNK1D	NR1D1	7	5	2	0.8333333333333334	0.8475	0.7941705236799388	2.359882005899705	1.4511996676226082	0.1932806719328067	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CSNK1D	NR1D2	7	5	1	0.8333333333333334	0.8268	0.796909823334267	1.2094823415578133	0.21733952189889194	1.0	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CSNK1E	PER1	7	13	3	2.1666666666666665	2.1622	1.1414996549041154	1.3874757191749145	0.7339467834270824	0.6607339266073393	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CSNK1E	PER2	7	18	3	3.0	3.0057	1.2131837006278756	0.9981036031540074	-0.004698381619411833	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CSNK1E	PER3	7	22	5	3.6666666666666665	3.6728	1.2150258387289046	1.3613591810063166	1.0923224491986492	0.4163583641635836	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CSNK1E	RORA	7	9	3	1.5	1.4956	1.003733723722987	2.0058839261834716	1.4988038803956616	0.1538846115388461	1.0	Enriched
uterine corpus endometrioid carcinoma	42	CSNK1E	RORB	7	10	1	1.6666666666666667	1.6689	1.0437345103870128	0.5991970759182695	-0.6408717862092865	0.6625337466253375	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CSNK1E	RORC	7	8	1	1.3333333333333333	1.3187	0.9629242090129577	0.758322590429969	-0.33097101206613383	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CSNK1E	CLOCK	7	14	2	2.3333333333333335	2.322	1.1443106853885747	0.8613264427217915	-0.2813921115231553	1.0	1.0	Depleted
uterine corpus endometrioid carcinoma	42	CSNK1E	NR1D1	7	5	0	0.8333333333333334	0.8455	0.7939098055055925	0.0	-1.064982437723581	0.561043895610439	1.0	Depleted
